family,scope,seed,head,head_label,pr_auc,exact_f1,tolerated_f1,union_f1,selected_threshold,selected_variant
Aurora,global,1,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,global,1,linear,linear probe,0.00017989053457467583,0.00048497822606044473,0.07403151298938895,0.11250100970106779,5e-05,identity
Aurora,global,1,pixel_mlp,pixel MLP head,0.0003203836978039105,0.0,0.0,0.0,0.05,identity
Aurora,global,1,shallow,shallow spatial adapter,0.0002057534002839387,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,global,1,shallow_wide,wide shallow adapter,0.0001786417887998326,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,fire_prone,1,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,1,linear,linear probe,0.015133999501232964,0.04101254412979794,0.4373876572798083,0.5055297690676752,5e-05,identity
Aurora,fire_prone,1,pixel_mlp,pixel MLP head,0.025151359890750978,0.0,0.0,0.0,0.05,identity
Aurora,fire_prone,1,shallow,shallow spatial adapter,0.017910818150688318,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,1,shallow_wide,wide shallow adapter,0.014618582075644511,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,global,123,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,global,123,linear,linear probe,0.0003361346188992932,0.0006105201483957844,0.06233463206099463,0.09001598313159424,0.0002,identity
Aurora,global,123,pixel_mlp,pixel MLP head,0.0002407603392470945,0.0,0.0,0.0,0.05,identity
Aurora,global,123,shallow,shallow spatial adapter,0.00032735918095111666,0.0004925798410758085,0.07514856771437857,0.11416411950971395,0.0002,erode_r1
Aurora,global,123,shallow_wide,wide shallow adapter,0.0001758054925129502,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,fire_prone,123,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,123,linear,linear probe,0.03327317362177979,0.030270270270270273,0.25274679366670844,0.27256836429354425,0.0002,identity
Aurora,fire_prone,123,pixel_mlp,pixel MLP head,0.015715548615747584,0.0,0.0,0.0,0.05,identity
Aurora,fire_prone,123,shallow,shallow spatial adapter,0.030936861667591613,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,123,shallow_wide,wide shallow adapter,0.014482920706097576,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,global,42,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
